accuracy,train_duration,train_set_size,test_duration,test_set_size,dimensions,device,dataset
0.972095251083374,250.44875311851501,210032,9.009165525436401,21000,10000,cuda:2,European Languages
0.9728571176528931,250.4956021308899,210032,8.154568672180176,21000,10000,cuda:2,European Languages
0.9744285941123962,248.58788585662842,210032,8.224171161651611,21000,10000,cuda:2,European Languages
0.9736190438270569,249.99488401412964,210032,8.316067695617676,21000,10000,cuda:2,European Languages
0.9733809232711792,249.42074298858643,210032,8.293001174926758,21000,10000,cuda:2,European Languages
0.9731904864311218,249.10086011886597,210032,8.24350619316101,21000,10000,cuda:2,European Languages
0.9722381234169006,249.5799961090088,210032,8.284410238265991,21000,10000,cuda:2,European Languages
0.9727619290351868,248.53568029403687,210032,8.356903791427612,21000,10000,cuda:2,European Languages
0.9732381105422974,249.4245307445526,210032,8.366756677627563,21000,10000,cuda:2,European Languages
0.9739047884941101,250.03167915344238,210032,8.08939242362976,21000,10000,cuda:2,European Languages
